hindi,santhali_ol_chiki,confidence
नमस्ते,namasate,0.0
हैलो,hailo,0.0
आप,āpa,0.0
तुम,tuma,0.0
मैं,maiṃ,0.0
हम,hama,0.0
यह,yaha,0.0
वह,vaha,0.0
क्यों,kayoṃ,0.0
क्या,kayā,0.0
कैसे,kaise,0.0
कहाँ,kahā̃,0.0
कब,kaba,0.0
हाँ,hā̃,0.0
नहीं,nahīṃ,0.0
कृपया,kaृpayā,0.0
धन्यवाद,dhanayavāda,0.0
शुक्रिया,śukariyā,0.0
स्वागत,savāgata,0.0
अच्छा,acachā,0.0
ख़राब,kharāba,0.0
बड़ा,baḍaā,0.0
छोटा,choṭā,0.0
लंबा,laṃbā,0.0
छोटा,choṭā,0.0
तेज़,teja,0.0
धीमा,dhīmā,0.0
सुबह,subaha,0.0
दोपहर,dopahara,0.0
शाम,śāma,0.0
रात,rāta,0.0
आज,āja,0.0
कल,kala,0.0
परसों,parasoṃ,0.0
स्कूल,sakūla,0.0
कक्षा,kakaṣā,0.0
शिक्षक,śikaṣaka,0.0
शिक्षिका,śikaṣikā,0.0
बच्चा,bacacā,0.0
लड़का,laḍakā,0.0
लड़की,laḍakī,0.0
माता,mātā,0.0
पिता,pitā,0.0
परिवार,parivāra,0.0
दोस्त,dosata,0.0
किताब,kitāba,0.0
पेपर,pepara,0.0
कलम,kalama,0.0
कागज,kāgaja,0.0
स्कूलबैग,sakūlabaiga,0.0
खेल,khela,0.0
गाना,gānā,0.0
नाच,nāca,0.0
कहानी,kahānī,0.0
कविता,kavitā,0.0
खाना,khānā,0.0
पानी,pānī,0.0
रोटी,roṭī,0.0
चावल,cāvala,0.0
दाल,dāla,0.0
फल,phala,0.0
सब्जी,sabajī,0.0
मिठाई,miṭhāī,0.0
खुश,khuśa,0.0
उदास,udāsa,0.0
हंसना,haṃsanā,0.0
रोना,ronā,0.0
देखना,dekhanā,0.0
सुनना,sunanā,0.0
बोलना,bolanā,0.0
कहना,kahanā,0.0
सोचना,socanā,0.0
समझना,samajhanā,0.0
सीखना,sīkhanā,0.0
लिखना,likhanā,0.0
पढ़ना,paḍhanā,0.0
गिनती,ginatī,0.0
एक,eka,0.0
दो,do,0.0
तीन,tīna,0.0
चार,cāra,0.0
पाँच,pā̃ca,0.0
छह,chaha,0.0
सात,sāta,0.0
आठ,āṭha,0.0
नौ,nau,0.0
दस,dasa,0.0
ग्यारह,gayāraha,0.0
बारह,bāraha,0.0
तीरह,tīraha,0.0
चौदह,caudaha,0.0
पंद्रह,paṃdaraha,0.0
बीस,bīsa,0.0
तीस,tīsa,0.0
सौ,sau,0.0
हज़ार,hajaāra,0.0
कितना,kitanā,0.0
किसका,kisakā,0.0
किसे,kise,0.0
क्योंकि,kayoṃki,0.0
अगर,agara,0.0
लेकिन,lekina,0.0
और,aura,0.0
या,yā,0.0
पर,para,0.0
बीच,bīca,0.0
साथ,sātha,0.0
अंदर,aṃdara,0.0
बाहर,bāhara,0.0
ऊपर,ūpara,0.0
नीचे,nīce,0.0
दायाँ,dāyā̃,0.0
बायाँ,bāyā̃,0.0
सही,sahī,0.0
गलत,galata,0.0
खिड़की,khiḍakī,0.0
दरवाज़ा,daravājaā,0.0
कुर्सी,kurasī,0.0
मेज़,meja,0.0
बिस्तर,bisatara,0.0
कमरा,kamarā,0.0
घर,ghara,0.0
गांव,gāṃva,0.0
शहर,śahara,0.0
मार्ग,māraga,0.0
सड़क,saḍaka,0.0
बाजार,bājāra,0.0
दुकान,dukāna,0.0
दवा,davā,0.0
हॉस्पिटल,haॉsapiṭala,0.0
डॉक्टर,ḍaॉkaṭara,0.0
नर्स,narasa,0.0
अस्पताल,asapatāla,0.0
पुलिस,pulisa,0.0
ट्रेन,ṭarena,0.0
बस,basa,0.0
साइकिल,sāikila,0.0
कार,kāra,0.0
हवाईजहाज़,havāījahāja,0.0
समुद्र,samudara,0.0
नदी,nadī,0.0
पहाड़,pahāḍa,0.0
वन,vana,0.0
पेड़,peḍa,0.0
पत्ता,patatā,0.0
फूल,phūla,0.0
सूरज,sūraja,0.0
चाँद,cā̃da,0.0
तारा,tārā,0.0
बारिश,bāriśa,0.0
बर्फ,barapha,0.0
हवा,havā,0.0
गरम,garama,0.0
ठंडा,ṭhaṃḍā,0.0
बाग,bāga,0.0
खेत,kheta,0.0
किसान,kisāna,0.0
जानवर,jānavara,0.0
कुत्ता,kutatā,0.0
बिल्ली,bilalī,0.0
गाय,gāya,0.0
भैंस,bhaiṃsa,0.0
घोड़ा,ghoḍaā,0.0
मुर्गा,muragā,0.0
अंडा,aṃḍā,0.0
दूध,dūdha,0.0
मकान,makāna,0.0
मेटल,meṭala,0.0
लकड़ी,lakaḍaī,0.0
कपड़ा,kapaḍaā,0.0
जूता,jūtā,0.0
टोपी,ṭopī,0.0
दाढ़ी,dāḍhaī,0.0
बाल,bāla,0.0
आँख,ā̃kha,0.0
कान,kāna,0.0
नाक,nāka,0.0
हाथ,hātha,0.0
पैर,paira,0.0
दिल,dila,0.0
दिमाग,dimāga,0.0
स्वास्थ्य,savāsathaya,0.0
सफाई,saphāī,0.0
खुशहाली,khuśahālī,0.0
सुरक्षा,surakaṣā,0.0
खुला,khulā,0.0
बंद,baṃda,0.0
किराना,kirānā,0.0
खर्च,kharaca,0.0
कमाई,kamāī,0.0
काम,kāma,0.0
आराम,ārāma,0.0
खेलना,khelanā,0.0
सीढ़ी,sīḍhaī,0.0
दरवाज़ा,daravājaā,0.0
सड़क,saḍaka,0.0
पुल,pula,0.0
नौकरी,naukarī,0.0
पैसा,paisā,0.0
हाथ धोना,hātha dhonā,0.0
साबुन,sābuna,0.0
टॉयलेट,ṭaॉyaleṭa,0.0
क्लासरूम,kalāsarūma,0.0
पाठ्यक्रम,pāṭhayakarama,0.0
शब्द,śabada,0.0
वाक्य,vākaya,0.0
अनुच्छेद,anucacheda,0.0
कहानी,kahānī,0.0
चित्र,citara,0.0
रंग,raṃga,0.0
लाल,lāla,0.0
नीला,nīlā,0.0
हरा,harā,0.0
पीला,pīlā,0.0
काला,kālā,0.0
सफ़ेद,saphaeda,0.0
गुलाबी,gulābī,0.0
बैंगनी,baiṃganī,0.0
नमस्ते 1,namasate 1,0.0
हैलो 1,hailo 1,0.0
आप 1,āpa 1,0.0
तुम 1,tuma 1,0.0
मैं 1,maiṃ 1,0.0
हम 1,hama 1,0.0
यह 1,yaha 1,0.0
वह 1,vaha 1,0.0
क्यों 1,kayoṃ 1,0.0
क्या 1,kayā 1,0.0
कैसे 1,kaise 1,0.0
कहाँ 1,kahā̃ 1,0.0
कब 1,kaba 1,0.0
हाँ 1,hā̃ 1,0.0
नहीं 1,nahīṃ 1,0.0
कृपया 1,kaृpayā 1,0.0
धन्यवाद 1,dhanayavāda 1,0.0
शुक्रिया 1,śukariyā 1,0.0
स्वागत 1,savāgata 1,0.0
अच्छा 1,acachā 1,0.0
ख़राब 1,kharāba 1,0.0
बड़ा 1,baḍaā 1,0.0
छोटा 1,choṭā 1,0.0
लंबा 1,laṃbā 1,0.0
छोटा 1,choṭā 1,0.0
तेज़ 1,teja 1,0.0
धीमा 1,dhīmā 1,0.0
सुबह 1,subaha 1,0.0
दोपहर 1,dopahara 1,0.0
शाम 1,śāma 1,0.0
रात 1,rāta 1,0.0
आज 1,āja 1,0.0
कल 1,kala 1,0.0
परसों 1,parasoṃ 1,0.0
स्कूल 1,sakūla 1,0.0
