hindi,santhali_ol_chiki,confidence
नमस्ते,,0.0
हैलो,,0.0
आप,,0.0
तुम,,0.0
मैं,,0.0
हम,,0.0
यह,,0.0
वह,,0.0
क्यों,,0.0
क्या,,0.0
कैसे,,0.0
कहाँ,,0.0
कब,,0.0
हाँ,,0.0
नहीं,,0.0
कृपया,,0.0
धन्यवाद,,0.0
शुक्रिया,,0.0
स्वागत,,0.0
अच्छा,,0.0
ख़राब,,0.0
बड़ा,,0.0
छोटा,,0.0
लंबा,,0.0
छोटा,,0.0
तेज़,,0.0
धीमा,,0.0
सुबह,,0.0
दोपहर,,0.0
शाम,,0.0
रात,,0.0
आज,,0.0
कल,,0.0
परसों,,0.0
स्कूल,,0.0
कक्षा,,0.0
शिक्षक,,0.0
शिक्षिका,,0.0
बच्चा,,0.0
लड़का,,0.0
लड़की,,0.0
माता,,0.0
पिता,,0.0
परिवार,,0.0
दोस्त,,0.0
किताब,,0.0
पेपर,,0.0
कलम,,0.0
कागज,,0.0
स्कूलबैग,,0.0
खेल,,0.0
गाना,,0.0
नाच,,0.0
कहानी,,0.0
कविता,,0.0
खाना,,0.0
पानी,,0.0
रोटी,,0.0
चावल,,0.0
दाल,,0.0
फल,,0.0
सब्जी,,0.0
मिठाई,,0.0
खुश,,0.0
उदास,,0.0
हंसना,,0.0
रोना,,0.0
देखना,,0.0
सुनना,,0.0
बोलना,,0.0
कहना,,0.0
सोचना,,0.0
समझना,,0.0
सीखना,,0.0
लिखना,,0.0
पढ़ना,,0.0
गिनती,,0.0
एक,,0.0
दो,,0.0
तीन,,0.0
चार,,0.0
पाँच,,0.0
छह,,0.0
सात,,0.0
आठ,,0.0
नौ,,0.0
दस,,0.0
ग्यारह,,0.0
बारह,,0.0
तीरह,,0.0
चौदह,,0.0
पंद्रह,,0.0
बीस,,0.0
तीस,,0.0
सौ,,0.0
हज़ार,,0.0
कितना,,0.0
किसका,,0.0
किसे,,0.0
क्योंकि,,0.0
अगर,,0.0
लेकिन,,0.0
और,,0.0
या,,0.0
पर,,0.0
बीच,,0.0
साथ,,0.0
अंदर,,0.0
बाहर,,0.0
ऊपर,,0.0
नीचे,,0.0
दायाँ,,0.0
बायाँ,,0.0
सही,,0.0
गलत,,0.0
खिड़की,,0.0
दरवाज़ा,,0.0
कुर्सी,,0.0
मेज़,,0.0
बिस्तर,,0.0
कमरा,,0.0
घर,,0.0
गांव,,0.0
शहर,,0.0
मार्ग,,0.0
सड़क,,0.0
बाजार,,0.0
दुकान,,0.0
दवा,,0.0
हॉस्पिटल,,0.0
डॉक्टर,,0.0
नर्स,,0.0
अस्पताल,,0.0
पुलिस,,0.0
ट्रेन,,0.0
बस,,0.0
साइकिल,,0.0
कार,,0.0
हवाईजहाज़,,0.0
समुद्र,,0.0
नदी,,0.0
पहाड़,,0.0
वन,,0.0
पेड़,,0.0
पत्ता,,0.0
फूल,,0.0
सूरज,,0.0
चाँद,,0.0
तारा,,0.0
बारिश,,0.0
बर्फ,,0.0
हवा,,0.0
गरम,,0.0
ठंडा,,0.0
बाग,,0.0
खेत,,0.0
किसान,,0.0
जानवर,,0.0
कुत्ता,,0.0
बिल्ली,,0.0
गाय,,0.0
भैंस,,0.0
घोड़ा,,0.0
मुर्गा,,0.0
अंडा,,0.0
दूध,,0.0
मकान,,0.0
मेटल,,0.0
लकड़ी,,0.0
कपड़ा,,0.0
जूता,,0.0
टोपी,,0.0
दाढ़ी,,0.0
बाल,,0.0
आँख,,0.0
कान,,0.0
नाक,,0.0
हाथ,,0.0
पैर,,0.0
दिल,,0.0
दिमाग,,0.0
स्वास्थ्य,,0.0
सफाई,,0.0
खुशहाली,,0.0
सुरक्षा,,0.0
खुला,,0.0
बंद,,0.0
किराना,,0.0
खर्च,,0.0
कमाई,,0.0
काम,,0.0
आराम,,0.0
खेलना,,0.0
सीढ़ी,,0.0
दरवाज़ा,,0.0
सड़क,,0.0
पुल,,0.0
नौकरी,,0.0
पैसा,,0.0
हाथ धोना,,0.0
साबुन,,0.0
टॉयलेट,,0.0
क्लासरूम,,0.0
पाठ्यक्रम,,0.0
शब्द,,0.0
वाक्य,,0.0
अनुच्छेद,,0.0
कहानी,,0.0
चित्र,,0.0
रंग,,0.0
लाल,,0.0
नीला,,0.0
हरा,,0.0
पीला,,0.0
काला,,0.0
सफ़ेद,,0.0
गुलाबी,,0.0
बैंगनी,,0.0
नमस्ते 1,,0.0
हैलो 1,,0.0
आप 1,,0.0
तुम 1,,0.0
मैं 1,,0.0
हम 1,,0.0
यह 1,,0.0
वह 1,,0.0
क्यों 1,,0.0
क्या 1,,0.0
कैसे 1,,0.0
कहाँ 1,,0.0
कब 1,,0.0
हाँ 1,,0.0
नहीं 1,,0.0
कृपया 1,,0.0
धन्यवाद 1,,0.0
शुक्रिया 1,,0.0
स्वागत 1,,0.0
अच्छा 1,,0.0
ख़राब 1,,0.0
बड़ा 1,,0.0
छोटा 1,,0.0
लंबा 1,,0.0
छोटा 1,,0.0
तेज़ 1,,0.0
धीमा 1,,0.0
सुबह 1,,0.0
दोपहर 1,,0.0
शाम 1,,0.0
रात 1,,0.0
आज 1,,0.0
कल 1,,0.0
परसों 1,,0.0
स्कूल 1,,0.0
कक्षा 1,,0.0
शिक्षक 1,,0.0
शिक्षिका 1,,0.0
बच्चा 1,,0.0
लड़का 1,,0.0
लड़की 1,,0.0
माता 1,,0.0
पिता 1,,0.0
परिवार 1,,0.0
दोस्त 1,,0.0
किताब 1,,0.0
पेपर 1,,0.0
कलम 1,,0.0
कागज 1,,0.0
स्कूलबैग 1,,0.0
खेल 1,,0.0
गाना 1,,0.0
नाच 1,,0.0
कहानी 1,,0.0
कविता 1,,0.0
खाना 1,,0.0
पानी 1,,0.0
रोटी 1,,0.0
चावल 1,,0.0
दाल 1,,0.0
फल 1,,0.0
सब्जी 1,,0.0
मिठाई 1,,0.0
खुश 1,,0.0
उदास 1,,0.0
हंसना 1,,0.0
रोना 1,,0.0
देखना 1,,0.0
सुनना 1,,0.0
बोलना 1,,0.0
कहना 1,,0.0
सोचना 1,,0.0
समझना 1,,0.0
सीखना 1,,0.0
लिखना 1,,0.0
पढ़ना 1,,0.0
गिनती 1,,0.0
एक 1,,0.0
दो 1,,0.0
तीन 1,,0.0
चार 1,,0.0
